x to 2.JPG,y to 2.JPG
766.496,374.657
766.496,374.657
3167.34,2453.72
489.141,1991.3
3379.61,429.88
873.276,1101.43
770.77,382.346
770.77,382.346
381.236,451.921
2779.36,2937.74
793.001,509.255
1642,652.805
40.211,2173.69
2481.72,593.519
880.562,1098.1
1403.72,2592.1
872.437,1038.9
2736.06,622.335
882.329,1091.45
880.562,1098.1
2498.92,868.163
1004.77,1931.52
1712.62,1314.95
3909.99,1474.18
1012.9,1959.58
2436.19,783.787
1048.41,164.97
886.973,1095.31
1009.36,1935.88
998.574,1871.04
792.639,391.207
955.065,1594.76
851.993,33.6912
2448.1,935.241
2980.77,1832.9
564.276,1782.97
816.177,495.291
784.683,1635.96
856.056,19.1436
989.526,1781.99
749.2,51.6224
3349.38,554.291
985.862,1748.27
804.404,392.987
1930.44,1600.35
1019.51,1922.65
2123.52,1603.86
1211.68,2789.98
995.137,1780.89
3238.61,2577.22
3052.63,1359.42
2514.18,132.028
956.469,1479.75
2263.36,307.271
1028.83,1942.12
831,491.273
1025.18,1915.42
1027.71,1918.81
3985.58,707.69
1274.87,1386.49
1566.09,2492.51
2927.11,2908.63
1001.07,1733.57
1000.79,1730.26
1695.12,2657.38
1029.96,198.566
1007.38,1777.01
842.184,490.906
963.073,1442.77
1004.41,1753.14
2746.24,1380.1
811.45,32.7779
2242.08,708.616
814.302,218.55
1026.57,1838.54
856.703,195.328
1036.86,1901.22
1049.91,1969.37
853.893,490.037
855.005,484.782
1041.21,1906
1382.77,680.683
274.291,2284.59
144.978,1593.13
933.229,1092.5
2919.07,1635.46
3257.13,835.464
903.401,848.882
1015.14,1734.43
1018.72,1757.17
885.189,435.094
3877.77,1457.26
786.194,45.8618
1013.45,1710.7
1053.03,1957.3
1687.88,2578.92
343.486,196.387
3350.05,2246.94
1958.05,830.624
1057.71,1964.99
2354.97,1856.99
873.25,1658.98
1024.87,1757.19
1024.87,1757.19
2305.9,951.739
910.457,839.736
2078.98,1785.4
1024.56,1745.62
1030.13,1768.89
895.354,666.44
2330.81,1190.44
1026.65,1729.01
581.231,1544.16
2354.01,578.472
1059.24,1918.23
1840.88,1838.93
928.966,888.213
3201.96,2639.98
836.943,162.261
1587.89,677.899
1335.88,1269.3
844.882,205.186
1003.83,1495.1
1201.12,893.116
870.172,369.641
2534.18,536.12
1200.36,139.374
3381.23,1302.5
308.598,306.51
931.846,850.442
914.628,680.335
1751.63,1523.99
1579.52,885.917
1011.93,1492.35
878.421,355.474
3318.76,1163.94
1025.93,1621.18
766.052,30.3735
912.324,605.157
912.324,605.157
3158.92,2964.02
3854.97,723.514
942.869,850.12
899.668,478.988
3467.11,575.969
2450.47,2968.22
3214.55,701.085
3131.44,2243.89
885.664,353.866
1699.87,413.007
1037.32,1647
902.167,470.253
1039.17,1653.18
847.411,38.0189
1092.39,1991.93
3863.96,1611.41
891.169,352.023
1210.62,900.103
894.033,360.738
284.946,2589.11
1088.47,1960.27
727.22,841.097
3134.31,958.433
1093.14,1981.37
1278.46,2026.96
851.993,33.6912
958.154,879.399
912.359,473.323
385.622,1311.15
954.789,844.723
878.309,204.236
1096.61,1982.74
911.517,454.204
911.517,454.204
1876.27,177.09
856.056,19.1436
720.366,65.7895
1575.04,1795.74
31.8948,2030.59
2852.33,2052.03
965.175,875.62
861.042,13.0938
969.667,882.369
919.791,456.801
3959.97,2084.5
919.791,456.801
124.953,387.768
555.413,2221.2
100.229,1853.03
924.997,452.532
3384,780.529
934.274,506.592
916.063,353.914
927.139,450.079
883.106,129.767
974.953,871.282
2755.12,2234.08
923.854,402.693
