FileName, GPS GPSAltitude Ratio, GPS GPSAltitudeRef Byte, GPS GPSLatitude Ratio, GPS GPSLatitudeRef ASCII, GPS GPSLongitude Ratio, GPS GPSLongitudeRef ASCII, GPS GPSVersionID Byte
79.JPG,10697/500,1,[29: 59: 379133/10000],N,[90: 6: 76423/10000],W,[0: 0: 0: 0]
80.JPG,35059/500,1,[29: 59: 371227/10000],N,[90: 6: 35891/5000],W,[0: 0: 0: 0]
81.JPG,22133/1000,1,[29: 59: 45743/1250],N,[90: 6: 39129/5000],W,[0: 0: 0: 0]
82.JPG,11509/250,1,[29: 59: 372617/10000],N,[90: 6: 66789/10000],W,[0: 0: 0: 0]
83.JPG,10997/500,1,[29: 59: 91933/2500],N,[90: 6: 3842/625],W,[0: 0: 0: 0]
84.JPG,13359/500,1,[29: 59: 95023/2500],N,[90: 6: 45547/5000],W,[0: 0: 0: 0]
85.JPG,21633/1000,1,[29: 59: 373289/10000],N,[90: 6: 4348/625],W,[0: 0: 0: 0]
86.JPG,21533/1000,1,[29: 59: 381909/10000],N,[90: 6: 68833/10000],W,[0: 0: 0: 0]
87.JPG,26109/500,1,[29: 59: 74249/2000],N,[90: 6: 898/125],W,[0: 0: 0: 0]
88.JPG,21459/500,1,[29: 59: 185617/5000],N,[90: 6: 71831/10000],W,[0: 0: 0: 0]
89.JPG,10947/500,1,[29: 59: 366991/10000],N,[90: 6: 2523/400],W,[0: 0: 0: 0]
90.JPG,6417/125,1,[29: 59: 376207/10000],N,[90: 6: 63657/10000],W,[0: 0: 0: 0]
91.JPG,10897/500,1,[29: 59: 366441/10000],N,[90: 6: 64729/10000],W,[0: 0: 0: 0]
92.JPG,11909/500,1,[29: 59: 373743/10000],N,[90: 6: 60407/10000],W,[0: 0: 0: 0]
93.JPG,22033/1000,1,[29: 59: 386469/10000],N,[90: 6: 59203/10000],W,[0: 0: 0: 0]
94.JPG,12709/250,1,[29: 59: 23316/625],N,[90: 6: 17469/2500],W,[0: 0: 0: 0]
95.JPG,9909/250,1,[29: 59: 374021/10000],N,[90: 6: 68191/10000],W,[0: 0: 0: 0]
96.JPG,21409/500,1,[29: 59: 185249/5000],N,[90: 6: 16331/2500],W,[0: 0: 0: 0]
97.JPG,11459/250,1,[29: 59: 377983/10000],N,[90: 6: 8181/1250],W,[0: 0: 0: 0]
98.JPG,22233/1000,1,[29: 59: 189429/5000],N,[90: 6: 9791/1250],W,[0: 0: 0: 0]
99.JPG,6367/125,1,[29: 59: 374319/10000],N,[90: 6: 14187/2000],W,[0: 0: 0: 0]
100.JPG,4967/125,1,[29: 59: 377123/10000],N,[90: 6: 66893/10000],W,[0: 0: 0: 0]
101.JPG,21533/1000,1,[29: 59: 377607/10000],N,[90: 6: 69249/10000],W,[0: 0: 0: 0]
102.JPG,21833/1000,1,[29: 59: 188579/5000],N,[90: 6: 59987/10000],W,[0: 0: 0: 0]
103.JPG,40537/500,1,[29: 59: 72817/2000],N,[90: 6: 72079/10000],W,[0: 0: 0: 0]
104.JPG,10497/500,1,[29: 59: 382441/10000],N,[90: 6: 12167/2000],W,[0: 0: 0: 0]
105.JPG,12809/250,1,[29: 59: 37857/1000],N,[90: 6: 34403/5000],W,[0: 0: 0: 0]
106.JPG,6392/125,1,[29: 59: 23456/625],N,[90: 6: 63533/10000],W,[0: 0: 0: 0]
107.JPG,5717/125,1,[29: 59: 373157/10000],N,[90: 6: 34769/5000],W,[0: 0: 0: 0]
108.JPG,32609/500,1,[29: 59: 185617/5000],N,[90: 6: 4489/625],W,[0: 0: 0: 0]
109.JPG,10447/500,1,[29: 59: 373037/10000],N,[90: 6: 77319/10000],W,[0: 0: 0: 0]
110.JPG,10697/500,1,[29: 59: 368697/10000],N,[90: 6: 60151/10000],W,[0: 0: 0: 0]
111.JPG,6417/125,1,[29: 59: 93351/2500],N,[90: 6: 64559/10000],W,[0: 0: 0: 0]
112.JPG,4967/125,1,[29: 59: 376089/10000],N,[90: 6: 16373/2500],W,[0: 0: 0: 0]
113.JPG,6417/125,1,[29: 59: 378161/10000],N,[90: 6: 32579/5000],W,[0: 0: 0: 0]
114.JPG,10647/500,1,[29: 59: 37611/1000],N,[90: 6: 77457/10000],W,[0: 0: 0: 0]
115.JPG,21733/1000,1,[29: 59: 182543/5000],N,[90: 6: 70243/10000],W,[0: 0: 0: 0]
116.JPG,22133/1000,1,[29: 59: 7491/200],N,[90: 6: 39321/5000],W,[0: 0: 0: 0]
117.JPG,12809/250,1,[29: 59: 373887/10000],N,[90: 6: 6419/1000],W,[0: 0: 0: 0]
118.JPG,11509/250,1,[29: 59: 46767/1250],N,[90: 6: 4019/625],W,[0: 0: 0: 0]
119.JPG,12759/250,1,[29: 59: 15067/400],N,[90: 6: 70927/10000],W,[0: 0: 0: 0]
120.JPG,10747/500,1,[29: 59: 366233/10000],N,[90: 6: 13299/2000],W,[0: 0: 0: 0]
121.JPG,4942/125,1,[29: 59: 374067/10000],N,[90: 6: 3329/500],W,[0: 0: 0: 0]
122.JPG,12859/250,1,[29: 59: 186253/5000],N,[90: 6: 32967/5000],W,[0: 0: 0: 0]
123.JPG,4967/125,1,[29: 59: 188603/5000],N,[90: 6: 67619/10000],W,[0: 0: 0: 0]
124.JPG,27409/500,1,[29: 59: 370471/10000],N,[90: 6: 13077/2000],W,[0: 0: 0: 0]
125.JPG,23409/500,1,[29: 59: 185291/5000],N,[90: 6: 65401/10000],W,[0: 0: 0: 0]
126.JPG,30209/500,1,[29: 59: 185633/5000],N,[90: 6: 4492/625],W,[0: 0: 0: 0]
127.JPG,6417/125,1,[29: 59: 378797/10000],N,[90: 6: 33561/5000],W,[0: 0: 0: 0]
128.JPG,12859/250,1,[29: 59: 37777/1000],N,[90: 6: 8083/1250],W,[0: 0: 0: 0]
129.JPG,6417/125,1,[29: 59: 75357/2000],N,[90: 6: 3992/625],W,[0: 0: 0: 0]
130.JPG,10747/500,1,[29: 59: 384259/10000],N,[90: 6: 16961/2500],W,[0: 0: 0: 0]
131.JPG,21633/1000,1,[29: 59: 368197/10000],N,[90: 6: 12879/2500],W,[0: 0: 0: 0]
132.JPG,10597/500,1,[29: 59: 380489/10000],N,[90: 6: 75661/10000],W,[0: 0: 0: 0]
133.JPG,22333/1000,1,[29: 59: 385413/10000],N,[90: 6: 25079/5000],W,[0: 0: 0: 0]
134.JPG,12809/250,1,[29: 59: 75497/2000],N,[90: 6: 70393/10000],W,[0: 0: 0: 0]
135.JPG,5717/125,1,[29: 59: 374597/10000],N,[90: 6: 7073/1000],W,[0: 0: 0: 0]
136.JPG,5717/125,1,[29: 59: 373461/10000],N,[90: 6: 64869/10000],W,[0: 0: 0: 0]
137.JPG,10797/500,1,[29: 59: 366533/10000],N,[90: 6: 35073/5000],W,[0: 0: 0: 0]
